CustomerID,Recommendations
C0001,"[('C0107', 0.996), ('C0137', 0.996), ('C0184', 0.996)]"
C0002,"[('C0088', 0.996), ('C0142', 0.988), ('C0159', 0.973)]"
C0003,"[('C0147', 0.998), ('C0190', 0.997), ('C0174', 0.982)]"
C0004,"[('C0113', 0.994), ('C0102', 0.979), ('C0169', 0.978)]"
C0005,"[('C0186', 0.997), ('C0159', 0.996), ('C0140', 0.991)]"
C0006,"[('C0048', 0.993), ('C0126', 0.991), ('C0187', 0.99)]"
C0007,"[('C0146', 1.0), ('C0178', 0.994), ('C0177', 0.994)]"
C0008,"[('C0018', 0.984), ('C0122', 0.961), ('C0046', 0.955)]"
C0009,"[('C0198', 1.0), ('C0014', 0.997), ('C0063', 0.994)]"
C0010,"[('C0019', 0.99), ('C0073', 0.985), ('C0166', 0.982)]"
C0011,"[('C0107', 0.995), ('C0048', 0.995), ('C0001', 0.989)]"
C0012,"[('C0148', 0.996), ('C0163', 0.994), ('C0155', 0.989)]"
C0013,"[('C0163', 0.996), ('C0148', 0.994), ('C0155', 0.992)]"
C0014,"[('C0060', 0.999), ('C0009', 0.997), ('C0198', 0.996)]"
C0015,"[('C0020', 0.999), ('C0058', 0.99), ('C0033', 0.988)]"
C0016,"[('C0154', 0.996), ('C0185', 0.99), ('C0183', 0.988)]"
C0017,"[('C0124', 0.989), ('C0053', 0.972), ('C0041', 0.969)]"
C0018,"[('C0122', 0.995), ('C0046', 0.985), ('C0008', 0.984)]"
C0019,"[('C0166', 0.998), ('C0172', 0.997), ('C0073', 0.997)]"
C0020,"[('C0015', 0.999), ('C0058', 0.996), ('C0033', 0.994)]"
